Awards List,,,,
Search Criteria: Fiscal Year From: 2022-2023 | Fiscal Year To: 2022-2023 | Institution & Province: University of British Columbia | By Institutions: All,,,,
"Total No Of Results: 1,583",,,,
Name,Project Title,Amount($),Fiscal Year,Program
"Evans, William",Uncertainty in Geometric Graphs,"29,000",2022-2023,Discovery Grants Program - Individual
"Eves, Neil",Heart-lung interactions and the effect on cardiac and vascular mechanics,"33,000",2022-2023,Discovery Grants Program - Individual
"Ewert, DavidDG",Extending the Theory of Confined Gradual Typing,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Fan, YiyunYM",Interaction between coxsackievirus and the cGAS-STING innate immune pathway,"6,000",2022-2023,University Undergraduate Student Research Awards
"Farrell, Anthony","Fish Physiology, Culture and Conservation","33,333",2022-2023,Canada Research Chairs
"Fast, Naomi",The effects of genome size reduction on cellular processes,"42,000",2022-2023,Discovery Grants Program - Individual
"Fatmi, Mahmudur","Agent-based Microsimulation of Land Use, Technology Adoption, and Transportation within an Integrated Urban Modelling Framework","26,000",2022-2023,Discovery Grants Program - Individual
"Fatmi, MahmudurRahmanMR","Developing travel behaviour models, and transportation and emissions simulation tools for a small Canadian municipality","31,000",2022-2023,Alliance Grants
"Fedida, David",Structures of ion channel complexes,"48,000",2022-2023,Discovery Grants Program - Individual
"Feldman, Rebecca",Image acquisition and analysis tools for magnetic resonance imaging near brain injury,"28,000",2022-2023,Discovery Grants Program - Individual
"Feldman, RebeccaE",Automated medical diagnostic image quality control using AI-based techniques,"193,000",2022-2023,Alliance Grants
"Fels, Sidney",Creating and Evaluating New Media Interfaces for Expression,"48,000",2022-2023,Discovery Grants Program - Individual
"Feng, HsiYung",Next Generation Machining Simulation Technologies for Complete and Efficient Process Validation,"27,000",2022-2023,Discovery Grants Program - Individual
"Feng, James",Hydrogel two-phase flows: hydrodynamics and applications,"39,000",2022-2023,Discovery Grants Program - Individual
"Fernandez, Rachel",Biogenesis and modification of the Bordetella cell envelope,"32,000",2022-2023,Discovery Grants Program - Individual
"Fewster, Kayla",Relating the mechanical responses of the lumbar spine during sudden impacts to preceding mechanical exposures,"32,000",2022-2023,Discovery Grants Program - Individual
"Fewster, Kayla",Relating the mechanical responses of the lumbar spine during sudden impacts to preceding mechanical exposures,"12,500",2022-2023,Discovery Launch Supplement
"Fewster, Kayla",A high speed pressure mapping system for non-invasive force distribution characterization,"76,395",2022-2023,Research Tools and Instruments
"Flaschner, EmilyEA",Identification of ligands and signaling pathways essential for hematopoietic stem cell development,"6,000",2022-2023,University Undergraduate Student Research Awards
"Floresco, Stan",Prefrontal-subcortical circuitry underlying cognitive flexibility,"158,000",2022-2023,Discovery Grants Program - Individual
"Folk, Joshua",Hybrid circuits as a thermodynamic measurement platform for 2D materials,"113,553",2022-2023,Discovery Grants Program - Individual
"Fong, AmosAKL",Understanding cellular interactions in tissue repair,"6,000",2022-2023,University Undergraduate Student Research Awards
"Ford, Adam",Wildlife Restoration (WiRE) in human-modified landscapes.,"58,000",2022-2023,Discovery Grants Program - Individual
"Ford, Adam",Wildlife Restoration Ecology,"100,000",2022-2023,Canada Research Chairs
"Formenti, SerenaSD",Studying the Deep Mantle from the Surface of the Earth: Investigating Clues in the Northwest Hawaiian Ridge,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Forsythe, AmyAB",Is evolutionary theory aging? The consequences of individual heterogeneity on the evolution of senescence.,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Forys, BrandonBJ",The role of cognitive control in inefficient effort deployment,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Foster, Glen",Human respiratory and neurocirculatory plasticity induced by intermittent hypoxia,"40,000",2022-2023,Discovery Grants Program - Individual
"Foster, Johan",Graphitic carbon from cellulosic materials: development and use,"64,000",2022-2023,Discovery Grants Program - Individual
"Foster, JohanEJ",NSERC/Canfor Industrial Research Chair in Advanced Bioproducts,"688,600",2022-2023,Industrial Research Chairs
"Foster, Leonard",Measuring and understanding health stressors in honey bees,"79,000",2022-2023,Discovery Grants Program - Individual
"Foulds, Ian",Microfluidic Sample Handling for the Spectroscopic Integration (SPIN) Program,"39,000",2022-2023,Discovery Grants Program - Individual
"Foulger, LiamLH",The role of uncertainty in vestibular control of locomotion,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Foxall, Eric","Stochastic population processes: metastability, asymptotics and phase transitions","21,000",2022-2023,Discovery Grants Program - Individual
"Frankel, Adam",Methylarginine Dynamics in Cellular Processes,"32,000",2022-2023,Discovery Grants Program - Individual
"Franz, Marcel",Exploring the twist paradigm in topological and interacting quantum matter,"75,000",2022-2023,Discovery Grants Program - Individual
"Franz, MarcelM",Establishing and exploiting Quantum advantage in superconducting Quantum annealer,"222,600",2022-2023,Alliance Grants
"Fraser, Ailana",Minimal submanifolds in Riemannian geometry,"43,000",2022-2023,Discovery Grants Program - Individual
"Frigaard, Ian","Sealing, Plugging and Visco-plastic Networks","76,000",2022-2023,Discovery Grants Program - Individual
"Frigaard, IanIA","Towards Net-Zero Emissions: mechanics, processes and materials to support risk-based well decommissioning","300,000",2022-2023,Alliance Grants
"Frigaard, IanIA",Well Integrity Canada 2030,"248,000",2022-2023,Alliance Grants
"Frigaard, IanIA",Mechanics of Methane Bubbles in Tailings Ponds,"76,250",2022-2023,Collaborative Research and Development Grants
"Frommel, Andrea",Effects of aquatic acidification on development in early life stages of commercial fish,"12,500",2022-2023,Discovery Launch Supplement
"Frommel, Andrea",Effects of aquatic acidification on development in early life stages of commercial fish,"26,000",2022-2023,Discovery Grants Program - Individual
"Frostad, John",Interfacial Rheology and Encapsulation Techniques for the Development of Functional Foods,"48,000",2022-2023,Discovery Grants Program - Individual
"Frostad, JohnJM",Anti-splash additives for reducing pollution and increasing yield with agricultural sprays,"25,000",2022-2023,Alliance Grants
"Frostad, JohnJM",Food for the final frontier: micro-encapsulation of essential nutrients to enable long-duration space exploration,"52,000",2022-2023,Alliance Grants
"Fryzuk, Michael",Discovery of New Catalysts for Functionalization of Molecular Nitrogen,"24,000",2022-2023,Discovery Grants Program - Individual
"Fu, JaneJ",Synthesis and testing of a novel class of antibiotics,"6,000",2022-2023,University Undergraduate Student Research Awards
"Fuller, SamanthaSL",Investigating effects of nitrous oxide premedication on isoflurane aversion in rats,"6,000",2022-2023,University Undergraduate Student Research Awards
"Fung, EthanE",Synthesis of complex amino acids,"6,000",2022-2023,University Undergraduate Student Research Awards
"Galea, Liisa",Hormones and Learning and Memory,"18,322",2022-2023,Discovery Grants Program - Individual
"Gao, Lucy",Learning subgroups from data: selective inference and applications,"18,000",2022-2023,Discovery Grants Program - Individual
"Gao, Yong","Artificial Intelligence and Network Science: Solution Concepts, Graph-Theoretic Characterizations, and Their Societal Aspects","23,000",2022-2023,Discovery Grants Program - Individual
"Garber, JoleneJM",Investigation of mucin and milk oligosaccharide modification by bacterial sialidases,"22,500",2022-2023,Postdoctoral Fellowships
"Garbi, Rafeef",Towards Generalizable Reasoned Deep Learning for Efficient Interpretable Medical Image Computing,"46,000",2022-2023,Discovery Grants Program - Individual
"GardnerFrolick, RivkahRGF",A novel methodological framework for air pollution and environmental justice in Canada,"100,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Garen, JosefJC",Improving mechanistic representation of boreal forests using cutting edge gas exchange methods and remote sensing,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Gargoum, Suliman",Towards Quantitative Integration of Reliability and Resiliency into Roadway Design: AI-Aided Road Vulnerability Assessment and Stochastic Uncertainty Modelling,"12,500",2022-2023,Discovery Launch Supplement
"Gargoum, Suliman",Towards Quantitative Integration of Reliability and Resiliency into Roadway Design: AI-Aided Road Vulnerability Assessment and Stochastic Uncertainty Modelling,"31,000",2022-2023,Discovery Grants Program - Individual
"Gargoum, SulimanSA",Automated Low-Cost Change Detection of Road Infrastructure Assets Using Remote Sensing and AI,"49,611",2022-2023,Alliance Grants
"Garner, AlexanderAM",Investigating how pancreatic islet architecture impacts function,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Gates, Derek",Synthetic Phosphorus Chemistry: The Systematic Development of Phosphorus-Containing Molecules and Polymers,"79,000",2022-2023,Discovery Grants Program - Individual
"Gates, Derek",Urgent Replacement of Gel Permeation Chromatograph to Characterize Novel Polymers,"150,000",2022-2023,Research Tools and Instruments
"Gay, Colin",The ATLAS Experiment at the Large Hadron Collider,"245,000",2022-2023,Subatomic Physics Envelope - Project
"Gaynor, Kaitlyn",Landscapes of fear in the Anthropocene: Linking predation risk and human disturbance to animal behavior and ecological outcomes,"52,000",2022-2023,Discovery Grants Program - Individual
"Gaynor, Kaitlyn",Landscapes of fear in the Anthropocene: Linking predation risk and human disturbance to animal behavior and ecological outcomes,"12,500",2022-2023,Discovery Launch Supplement
"Geladi, IlkeIG",Coupling evolutionary processes and ecosystem services for biodiversity conservation in agricultural landscapes in the Galapagos Archipelago,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Gergel, Sarah",Dynamics of Ecosystem Services from Linked Urban Forests and Streams: Towards Next-Generation Landscape Indicators,"43,000",2022-2023,Discovery Grants Program - Individual
"Gerlofs, DennisDJ",Neural signatures of spontaneous level-2 perspective taking: an EEG ERP study,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Germain, Rachel",The ecology and evolution of biodiversity in natural metacommunities,"38,000",2022-2023,Discovery Grants Program - Individual
"Ghadirianniari, SaharSG",Evaluation of Mud Rush Risk in Block Cave Mining by Using Machine Learning Techniques,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Gharajehdaghipoor, TazarveT",Linking Caribou population trends to nutritional landscapes following habitat alteration,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Ghioca, Dragos",Unlikely intersections in arithmetic dynamics,"56,000",2022-2023,Discovery Grants Program - Individual
"GhoreishiMadiseh, SeyedAli",Development of innovative mine energy systems,"44,000",2022-2023,Discovery Grants Program - Individual
"GhoreishiMadiseh, SeyedAli",Advanced mine energy systems,"120,000",2022-2023,Canada Research Chairs
"Ghosh, Sanjoy","Polyunsaturated fatty acid (PUFA), inflammation and antioxidants","28,000",2022-2023,Discovery Grants Program - Individual
"Ghoussoub, Nassif",Mass transfers and Optimal Stochastic Transports,"48,000",2022-2023,Discovery Grants Program - Individual
"Giang, Amanda",Evaluating the impacts of technology and policy on long-range transport of toxic pollutants,"26,000",2022-2023,Discovery Grants Program - Individual
"Gibon, Julien",Signaling mechanisms of the pro Brain Derived Neurotrophic Factor (proBDNF) and the prodomain BDNF (pBDNF) in neurons,"30,000",2022-2023,Discovery Grants Program - Individual
"Gibson, Deanna",Gut microbiome evolution via nature verses nurture: the affect of changing environments on the developing mammalian gut microbial ecosystem and immunity,"33,000",2022-2023,Discovery Grants Program - Individual
"Gick, Bryan",Posture in oromotor control,"33,000",2022-2023,Discovery Grants Program - Individual
"Gill, JaidevSinghJSG",How to make large models fair when group knowledge is limited,"6,000",2022-2023,University Undergraduate Student Research Awards
"Gill, LaurenLTJ",Mechanisms of freeze tolerance for the intertidal mussel M. trossulus,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Gladman, Brett","Planet formation: Location, number, and timing.","82,000",2022-2023,Discovery Grants Program - Individual
"Godin, Robert",Spectroscopy-led Development of Organic Photocatalysts for Sustainable Energy Production,"24,000",2022-2023,Discovery Grants Program - Individual
"Goldowitz, Daniel",Identification of long non-coding RNAs in mammalian brain development,"36,000",2022-2023,Discovery Grants Program - Individual
"Gopaluni, BhushanRB",5G Enabled Energy Management for Smart Buildings,"30,000",2022-2023,Alliance Grants
"Gopaluni, BhushanRB",Modelling and Control for the Advancement of Biologics,"96,000",2022-2023,Alliance Grants
"Gordon, Julia","Measures, orbital integrals, and counting points.","31,000",2022-2023,Discovery Grants Program - Individual
"Gordon, Michael",Taste-independent regulation of nutrient intake in Drosophila.,"64,000",2022-2023,Discovery Grants Program - Individual
"Görges, Matthias",A bi-directional data sharing platform for researchers and citizen science,"36,000",2022-2023,Discovery Grants Program - Individual
"Graham, Sean","Genomic approachs to studying plant evolution, function and phylogeny","65,000",2022-2023,Discovery Grants Program - Individual
"Granot, Daniel",Sustainability and Qualitative Sensitivity Analysis in Network Models,"26,000",2022-2023,Discovery Grants Program - Individual
"Granot, Frieda",Network Modelling and Analysis with Applications to Operations Management,"52,000",2022-2023,Discovery Grants Program - Individual
"Grant, Edward","Laser Spectroscopy of Isolated Molecules and Complex Systems: Structure, Dynamics and Analysis","48,000",2022-2023,Discovery Grants Program - Individual
"Grecov, Dana",Novel applications of nanoparticle dispersions in lubrication and bio-lubrication,"32,000",2022-2023,Discovery Grants Program - Individual
"Grecov, Dana",Replacement of a Multi-function Tribometer,"148,975",2022-2023,Research Tools and Instruments
"Green, Sheldon",Application of Liquid Coating to a High-speed Moving Surface,"55,000",2022-2023,Discovery Grants Program - Individual
"Green, SheldonSI",Application of Friction Modifier to Railroad Tracks,"30,250",2022-2023,Alliance Grants
"Greenaway, DerekDE",Effect of in-situ crystallization on weld formation in 3D printed fiber reinforced PEEK,"6,000",2022-2023,University Undergraduate Student Research Awards
"Greenwood, RebekahRM","Development of Adhesive, Self-Healing, and Osteoinductive Nanocomposite Materials for Bone Tissue Re","6,000",2022-2023,University Undergraduate Student Research Awards
"Greenwood, SophieSJ",Learning robust behavioural game theory models,"6,000",2022-2023,University Undergraduate Student Research Awards
"GregoireMitha, NadiaNGM",Emotional McGurk: Developing a novel tool to examine audio-visual integration of affective signals,"6,000",2022-2023,University Undergraduate Student Research Awards
"Gresl, JonathanJR",MSc - Computer Science,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Griggs, JohannaJM",Recreational impacts to terrestrial mammals in southwestern British Columbia,"6,000",2022-2023,University Undergraduate Student Research Awards
"Groat, Lee",Development of Genetic Models and Exploration Criteria for Gem and Pegmatite Deposits,"15,000",2022-2023,Discovery Grants Program - Northern Research Supplement
"Groat, Lee",Development of Genetic Models and Exploration Criteria for Gem and Pegmatite Deposits,"36,000",2022-2023,Discovery Grants Program - Individual
"Gsponer, Joerg",Designing interactions mediated by disordered protein regions,"48,000",2022-2023,Discovery Grants Program - Individual
"Gubbels, ChristopherCN",Robust Adversarial Machine Learning for Measuring CP of the top-Higgs Yukawa Coupling,"11,667",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Guenette, Jordan",Sex-differences in respiratory sensation and muscle function during conditions of physiological stress,"47,000",2022-2023,Discovery Grants Program - Individual
"Guislain, BradleyBG",Probing 2D material properties using ultrafast Quantum Interference Control,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Guo, JianJ",High-Throughput Parallel Profiling of Mitochondrial Metabolome and Lipidome by Advanced Ultra Performance Liquid Chromatography Mass Spectrometry,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Gustafson, Paul",Bayesian Evidence Synthesis: Exploring the Limits of Limited data,"53,000",2022-2023,Discovery Grants Program - Individual
"Gustafson, Stephen",Analysis and applications of geometric Schrodinger equations: topological solitons and dynamics in ferromagnets,"36,000",2022-2023,Discovery Grants Program - Individual
"Gyenge, Elod",Advancements in Carbon Dioxide based Electrochemical Power Sources,"33,000",2022-2023,Discovery Grants Program - Individual
"Haber, Eldad",Physics Based Architectures for Deep Neural Networks,"37,000",2022-2023,Discovery Grants Program - Individual
"Hach, Faraz",Novel Algorithms for Detecting the Clonal Composition and Monitoring the Evolution of Tumours via Liquid Biopsies Sequencing Data,"52,000",2022-2023,Discovery Grants Program - Individual
"Hafeli, Urs",Microfluidic systems for high efficiency radiolabeling and purification of nanomedicines,"56,000",2022-2023,Discovery Grants Program - Individual
"Hallas, Alannah",New Frontiers in Magnetic Quantum Materials,"39,000",2022-2023,Discovery Grants Program - Individual
"Hallas, Alannah",New Frontiers in Magnetic Quantum Materials,"40,000",2022-2023,DND/NSERC Discovery Grant Supplement
"Halpern, Mark",Measurement of the large scale structure of the Universe,"95,000",2022-2023,Discovery Grants Program - Individual
"Halpern, MarkM",Nominated for the NSERC Brockhouse Canada Prize,"125,000",2022-2023,Brockhouse Canada Prize for Interdisciplinary Research in Science and Engineering
"Hamdona, NoorNAHH",Assessing the resiliency and sustainability of hybrid tall building systems,"6,000",2022-2023,University Undergraduate Student Research Awards
"Hamlin, Jane",Is mentalizing for social evaluation? Studies with human infants.,"55,000",2022-2023,Discovery Grants Program - Individual
"Handy, Todd",Attention in Dynamic and Individualized Contexts,"40,000",2022-2023,Discovery Grants Program - Individual
"Haney, Cara",Maintaining plant immune homeostasis in the rhizosphere microbiome,"65,000",2022-2023,Discovery Grants Program - Individual
"Haney, Cara",Maintaining plant immune homeostasis in the rhizosphere microbiome,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Hanke, DanielleDF",A chemical biology approach to explore the role of STAT1 protein in inflammation.,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Hansen, BrendanBD",Drought-induced air seed cavitation in temperate rainforest conifers,"11,000",2022-2023,University Undergraduate Student Research Awards
"Harasym, CharleneCC",Imaging cartilage mechanics,"6,000",2022-2023,University Undergraduate Student Research Awards
"Hare, Warren",Structured Blackbox Optimization,"43,000",2022-2023,Discovery Grants Program - Individual
"Harley, Christopher",Integrating ecological responses to environmental variation across levels of biological organization,"47,000",2022-2023,Discovery Grants Program - Individual
"Harris, OwenOH",Investigating the Interaction Between Ozone and Exercise on Cardiorespiratory Function,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Hart, Miranda",Introduction and persistence of arbuscular mycorrhizal fungal inoculum,"80,000",2022-2023,Discovery Grants Program - Individual
"Harvey, RyanRAR",Controlled rotation of an ultracold plasma by an optical centrifuge,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Hasan, HasanAhmedHA",Pantomime grasps reveal the time-course of visually guided action,"6,000",2022-2023,University Undergraduate Student Research Awards
"Hasan, Mohammad",Smartphones for Improved Co-Located Interpersonal Communication,"28,000",2022-2023,Discovery Grants Program - Individual
"Hashimi, AmeenaA",Structural and functional characterization of a novel bacterial cell envelope in Chloroflexi,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Hasinoff, Michael",DarkLight at TRIUMF/ARIEL -- A Search for New Physics in e+e- Final States with an Invariant Mass between 10-20 MeV.,"150,000",2022-2023,Subatomic Physics Envelope - Project
"Hassan, Marwan",Sediments and sediment transport in mountain channels,"51,000",2022-2023,Discovery Grants Program - Individual
"Hatzikiriakos, Savvas",Hydrogels from Hydrothermal Treatment of Nanocrystalline Cellulose and their Applications,"128,000",2022-2023,Discovery Grants Program - Individual
"Hauert, Christoph",Evolving associations: cooperation and conflict within and between species,"40,000",2022-2023,Discovery Grants Program - Individual
"Haukaas, Terje",Disaster Resilience of Urban Communities in Canada: New Probabilistic Models and Computational Methods,"26,000",2022-2023,Discovery Grants Program - Individual
"Hawley, Alyse",From wetlands to wastewater: leveraging natural biomes to determine key factors for engineering stable biological processes,"28,000",2022-2023,Discovery Grants Program - Individual
"Hawley, Alyse",From wetlands to wastewater: leveraging natural biomes to determine key factors for engineering stable biological processes,"12,500",2022-2023,Discovery Launch Supplement
"Haynes, Charles",Tier I Canada Research Chair in Interfacial Biotechnology,"50,000",2022-2023,Canada Research Chairs
"HE, JIAYIJ",Modelling Electron Densities for Molecular Properties,"6,000",2022-2023,University Undergraduate Student Research Awards
"Hearty, Christopher",The Belle II experiment,"72,728",2022-2023,Subatomic Physics Envelope - Project
"Heckman, Nancy","Functional Data Analysis, Mixed Models and Hidden Markov Models","27,000",2022-2023,Discovery Grants Program - Individual
"Hedtrich, Sarah",Development of complex-human-based organ models,"38,000",2022-2023,Discovery Grants Program - Individual
"Hein, Jason",Integrating automated experimentation with process analytical technology,"79,000",2022-2023,Discovery Grants Program - Individual
"Hein, Jason",Integrating automated experimentation with process analytical technology,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Hein, JasonJEH",Leveraging Signal Deconvolution to Enable Reaction Monitoring using Bench-top Nuclear Magnetic Resonance,"30,000",2022-2023,Alliance Grants
"Hendi, ArdalanAH",Novel channel-independent functions of a gap junction protein in spatial arrangement of synapses in C. elegans,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"HendijaniFard, Fatemeh",Intelligent Detection of Open Source Software Anomalies,"23,000",2022-2023,Discovery Grants Program - Individual
"Henry, Gregory",Tundra ecosystem responses to 30 years of experimental and observed changes in climate,"40,000",2022-2023,Discovery Grants Program - Individual
"Henry, GregoryGHR",Tundra ecosystem responses to 30 years of experimental and observed changes in climate,"19,000",2022-2023,Discovery Grants Program - Northern Research Supplement
"Hermon, Jonathan",Particle systems and universality of the cutoff phenomenon,"29,000",2022-2023,Discovery Grants Program - Individual
"Hermon, Jonathan",Particle systems and universality of the cutoff phenomenon,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Herringer, PaulPM",Classifying Computational Phases of Quantum Matter in 2D and 3D,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Hewage, Kasun",Life cycle thinking based low-impact construction strategies for Canadian micro-communities,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Hewage, Kasun",Life cycle thinking based low-impact construction strategies for Canadian micro-communities,"73,000",2022-2023,Discovery Grants Program - Individual
"HICKEY, KENNETH",Sedimentary rock-hosted ore-forming systems: structural setting and paleohydrology,"30,000",2022-2023,Discovery Grants Program - Individual
"Hickey, MatthewD",Development of a Robotic Solution to Alignment in Unicompartmental Knee Arthroplasty,"42,000",2022-2023,Postgraduate Scholarships - Doctoral
"Hickson, Paul","Contributions to adaptive optics, telescopes, remote sensing and space surveillance","24,000",2022-2023,Discovery Grants Program - Individual
"Hill, Alexander",The Dynamic Interstellar Medium,"24,000",2022-2023,Discovery Grants Program - Individual
"Hill, Jane",Development of next generation of breath collection systems,"39,000",2022-2023,Discovery Grants Program - Individual
"Hill, Jane",Breath Science and Technology,"200,000",2022-2023,Canada Research Chairs
"Hill, Jane",Instrument to recapture and handle VOCs,"145,027",2022-2023,Research Tools and Instruments
"Hill, RyleyRB",Growth of structure in the cosmic microwave foreground,"45,000",2022-2023,Postdoctoral Fellowships
"Hills, BradleyC",Assess decarbonization potential of chemical productions with bio-based precursors,"6,000",2022-2023,University Undergraduate Student Research Awards
"Hilsden, JayJHH",Reconstructing the former genetic diversity and population structure of Pacific Herring,"6,000",2022-2023,University Undergraduate Student Research Awards
"Hilts, Michelle",The development of advanced imaging and dosimetry for permanent breast seed implant radiation therapy,"41,000",2022-2023,Discovery Grants Program - Individual
"Hinshaw, Gary",Probing Cosmology with Diffuse Background Radiation Observations,"41,000",2022-2023,Discovery Grants Program - Individual
"Hinshaw, Gary",Observational Cosmology,"200,000",2022-2023,Canada Research Chairs
"Ho, AnthonyA",Statistical inference on graphical data,"6,000",2022-2023,University Undergraduate Student Research Awards
"Hoang, ChristopherC",Development of Chemical Probes to Invetigate Thymic Stromal Lymphopoietin's Role in Inflammatory Signaling,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Hobbs, Tiegan",Identifying potentially active faults in mainland British Columbia using available datasets,"25,000",2022-2023,Discovery Grants Program - Individual
"Hodges, Karen",Species conservation in a fiery future,"40,000",2022-2023,Discovery Grants Program - Individual
"Hodges, Nicola",Probing the relationship between doing and watching to promote motor performance and learning,"39,000",2022-2023,Discovery Grants Program - Individual
"Hodgson, Antony",Integrating Imaging and Motion Tracking Tools and Techniques for Assessing and Surgically Treating Musculoskeletal Disorders,"46,000",2022-2023,Discovery Grants Program - Individual
"Hoffman, KiraKM","Reconstructing historic wildfire variability in northern British Columbia, Canada.","45,000",2022-2023,Postdoctoral Fellowships
"Hojo, RyogaRH",Deep Blue Thermally Activated Delayed Fluorescence: Unlocking their Potential as Energy Transfer Visible Light Photocatalysts.,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Hojo, RyogaRH",Thermally Activated Delayed Fluorescent Materials as Sustainable Alternatives in Energy Transfer Photocatalysts using Visible-Light,"6,000",2022-2023,Canadian Graduate Scholarships Foreign Study Supplements
"Hollman, SerenaSM",Investigating the regulation of neuronal lipid droplets by triglyceride metabolism-related genes,"6,000",2022-2023,University Undergraduate Student Research Awards
"Holt, TaylorTA",Investigating partner fidelity feedbacks in the alder bark beetle-Neonectria symbiosis,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Holuszko, Maria",Recovery of Rare Earth Elements from coal tailings from British Columbia coalfields by nano-flotation,"33,000",2022-2023,Discovery Grants Program - Individual
"Hoodless, Pamela",Endoderm patterning in the mouse embryo,"100,000",2022-2023,Discovery Grants Program - Individual
"Horner, TorTOR",Vacancy-Rich Palladium Hydride Synthesis Using Tandem Electrochemical Loading and Metal Sputtering,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Hornibrook, Edward",Wetland contribution to interannual variability in atmospheric methane growth rate,"72,000",2022-2023,Discovery Grants Program - Individual
"Hossain, MdJahangir",Towards Massive Connectivity of Wireless IoT in Evolving 5G Cellular Network and Beyond,"78,000",2022-2023,Discovery Grants Program - Individual
"HOSSAIN, MDJAHANGIRMJ","Profile Management, and Resource Scheduling for Low Latency Communications in DOCSIS 3.1 Networks","60,000",2022-2023,Collaborative Research and Development Grants
"Hosseinirad, SaraS",Developing an Automated Welding Robot Using Machine Learning and Advanced Control Techniques,"50,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Hotz, JacobJH",Context-sensitive Interpretation of Ambiguous English Phrases,"6,000",2022-2023,University Undergraduate Student Research Awards
"Howard, ChristinaCA",Climate Sensitive Growth and Suitability Modeling of Quebec Tree Species,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Howe, ConnorCAH",Evolutionary adaptation of cerebral blood flow regulation in hypoxia,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Howe, LeAnn",Inheritance of histone post-translational modifications,"100,000",2022-2023,Discovery Grants Program - Individual
"Howes, NicoleNH",Characterization of volatile fingerprints and virulence determinants of Stenotrophomonas maltophilia,"6,000",2022-2023,University Undergraduate Student Research Awards
"Hristovski, IlijaIR",Bi-Directional Retro-Modulator Array for Long-Range Laser Communication Links,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Hsiao, YunPingYP",Local to global principle for expected values over function fields,"6,000",2022-2023,University Undergraduate Student Research Awards
"Hu, Alan",Automated Formal Verification for Domain-Specific Hardware Acceleration,"29,000",2022-2023,Discovery Grants Program - Individual
"Hu, GraceGY",Telepresence robot in long term care,"6,000",2022-2023,University Undergraduate Student Research Awards
"Huan, Tao",Development of analytical and bioinformatic tools for mass spectrometry-based untargeted metabolomics,"24,000",2022-2023,Discovery Grants Program - Individual
"Huang, JieyingJH",Investigating the Potential for Urban Green Infrastructure to Improve Urban Stream Status,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Huang, MorrisMH",Establish a high-throughput platform to proactively evaluate potential viral variants of concern,"6,000",2022-2023,University Undergraduate Student Research Awards
"Huang, NeoNH",$p$-adic string theory,"6,000",2022-2023,University Undergraduate Student Research Awards
"Huber, PatrickP",Advance the area of discourse parsing by exploiting distant supervision signals from closely related Natural Language Processing (NLP) tasks to overcome the prevailing lack of discourse annotated data,"11,666",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
