Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects,Detailed list of projects
"Fakirani, Alim",The University of British Columbia,"The Representation of Refugee, Immigrant and Minority Histories in the Secondary-Level Social Studies and History Curricula of British Columbia and Ontario","$35,000.00",2022-2023,767
"Fang, Limin",The University of British Columbia,Household Tenure and the Political Economy of Housing Development,"$21,465.00",2022-2023,430
"Feng, Xiangjun",The University of British Columbia,An alternative history of book burning in China's age of print,"$45,000.00",2022-2023,756
"Fercovic, Juan",The University of British Columbia,"Energy Use, Wood Consumption and Technology Adoption in Chilean Households","$20,000.00",2022-2023,752
"Fernández Utrera, María Soledad",The University of British Columbia,"Salvador Dalí, Homo Politicus","$3,465.00",2022-2023,435
"Ferraz, Claudio",The University of British Columbia,"Political Inequality: History, Political Selection, and the Effects of Reforms in Brazil","$78,750.00",2022-2023,435
"Filippello, Roberto",The University of British Columbia,Queer Threads: Critical Fashion Practices in Contemporary Palestine (2010-2022),"$26,254.00",2022-2023,430
"Fischer, Olivia",The University of British Columbia,Accessing mental health services: Barriers facing transgender and non-binary parents and prospective parents,"$35,000.00",2022-2023,767
"Fisher, Kevin D.",The University of British Columbia,Investigating the socio-environmental dynamics of an ancient urban landscape,"$24,376.00",2022-2023,435
"Fitzgibbons, Joanne M.",The University of British Columbia,"Justice, equity, and inclusiveness in planning for nature-based solutions","$17,500.00",2022-2023,767
"Folk, Dunigan",The University of British Columbia,Beyond close friendship: An investigation into alternative avenues for belonging,"$35,000.00",2022-2023,767
"Ford, Adam T.",The University of British Columbia,Is Conservation Always Ethical? The Socio-Cultural Dimensions of Woodland Caribou Conservation in Western Canada,"$50,520.00",2022-2023,890
"Frohlick, Susan E.",The University of British Columbia,"Sound, Memory, Listening: Sonic Worlds and Refugees' Emergent Belonging in a Multiracial City","$16,954.00",2022-2023,435
"Frost, Christy J.",The University of British Columbia,Intercultural and Intertextual Learning: A Critical Discourse Analysis of a Chinese Foreign Language Textbook Series,"$17,500.00",2022-2023,766
"Fu, Qiang",The University of British Columbia,"How to build a nation for all nations? A mixed big-data approach to social integration of immigrants in Canada, 1970--2020","$39,397.00",2022-2023,435
"Fuchs, Travis T.",The University of British Columbia,"Developing social, moral, and ethical decisions and actions through science education: factors influencing implementation","$35,000.00",2022-2023,767
"Fuchs, Travis T.",The University of British Columbia,"Socially responsible science education: opportunities, challenges, and implementation","$6,000.00",2022-2023,771
"Gadermann, Anne M.",The University of British Columbia,Pathways from early childhood to young adulthood: Early indicators of secondary and post-secondary graduation outcomes for children and youth in BC,"$44,612.00",2022-2023,435
"Gagnon, Olivia",The University of British Columbia,"Performance Studies, Pedagogy, Social Justice, and the Politics of Difference","$22,351.00",2022-2023,430
"Gainforth, Heather L.",The University of British Columbia,Understanding and Supporting Best Practices for Meaningful Engagement in Spinal Cord Injury Research,"$40,089.00",2022-2023,890
"Gallipoli, Giovanni",The University of British Columbia,"Investigating the mechanics of inequality: employment, wealth and consumption","$57,200.00",2022-2023,435
"Gardner, Gregg",The University of British Columbia,Poverty and social justice in classical Jewish thought:  Mishnah Pe'ah - a translation and commentary,"$7,876.00",2022-2023,435
"Garlappi, Lorenzo",The University of British Columbia,Dynamic Voting and Group Decisions in Corporate Finance,"$85,580.00",2022-2023,435
"Garrard, Gregory",The University of British Columbia,Kelownafornia: Cultures of Nature in the Okanagan Valley,"$59,363.00",2022-2023,435
"Gaviria-Serna, Dora Alejandra",The University of British Columbia,Social appropriation of the Colombian Truth Commission's Findings: Shared knowledge and social reconstruction in the aftermaths of mass violence through grassroots artistic initiatives,"$50,000.00",2022-2023,770
"Geddes, Daniel M.",The University of British Columbia,The Politics of Play from Decadence to Modernism,"$17,500.00",2022-2023,766
"Gélinas-Lemaire, Vincent",The University of British Columbia,Narratives of the Fall: Contemporary Poetics of Ruin,"$16,989.00",2022-2023,435
"Gendron, Mathew R.",The University of British Columbia,Understanding LGBTQ sexual violence: Critical analysis of sexual violence on post-secondary campuses in British Columbia,"$50,000.00",2022-2023,770
"Gerofsky, Susan G.",The University of British Columbia,Re-storying intergenerational community relationships with mathematics through embodied mathematical arts,"$20,784.00",2022-2023,435
"Ghani, Aisha S.",The University of British Columbia,South Asian Adolescent Experiences of Parent-Child Relationships,"$20,000.00",2022-2023,752
"Ghaziani, Amin",The University of British Columbia,Urban Sexualities,"$100,000.00",2022-2023,950
"Ghebremusse, Sara",The University of British Columbia,The Anatomies of Two Canadian Mining Conflicts in Southern Africa,"$40,426.00",2022-2023,430
"Giammarino, Ronald M.",The University of British Columbia,Municipal Corporate Finance,"$7,050.00",2022-2023,435
"Gibadullina, Albina",The University of British Columbia,At the Dusk of the American Empire: The Limits to Finance Capital,"$50,000.00",2022-2023,770
"Gick, Bryan W.",The University of British Columbia,Virtually Speaking: How Phonetic Information Affects Communication in Virtual Reality,"$22,598.00",2022-2023,435
"Gillespie, Judy L.",The University of British Columbia,Enhancing Evaluation Methodologies in Multisector Community Change Initiatives: The Role of Indigenous Knowledge Systems,"$58,274.00",2022-2023,435
"Girling, Cynthia L.",The University of British Columbia,"Urban Greening vs. Urban Densification: Evaluating future what-if scenarios for effects on heat island, shading and cooling of neighbourhoods","$79,735.00",2022-2023,435
"Giroux, Emily",The University of British Columbia,"Bridging the research to practice gap: An in-depth, prospective examination of the role of community-based organizations in fostering meaningful research partnerships","$20,000.00",2022-2023,752
"Girvan, Anita",The University of British Columbia,"e-Race-sures, Renovictions, and Reclamations: Cultural-Material Production in Canada","$13,737.00",2022-2023,430
"Glassheim, Eagle",The University of British Columbia,"Revitalizing Mining Landscapes and Communities: Ecological Restoration, Heritage Preservation, and Economic Development in the Age of Mass Destruction Mining","$25,423.00",2022-2023,435
"Glassman, James F.",The University of British Columbia,Geopolitical economies of urban-industrial development in East Asia and North America,"$33,810.00",2022-2023,435
"Godard, Rebecca",The University of British Columbia,Social Support Processes in Online Health Groups for People with Chronic Pain,"$35,000.00",2022-2023,767
"Goldberg, Simone Y.",The University of British Columbia,Body Disregard as a Longitudinal Predictor of Non-Suicidal Self-Injury: Assessing the Influence of Gender Identity,"$17,500.00",2022-2023,766
"Goldman-Hasbun, Julia",The University of British Columbia,From free speech to hate speech: examining right-wing student activism on Canadian university campuses,"$35,000.00",2022-2023,767
"Gomez Cardona, Sebastian",The University of British Columbia,The effect of financial literacy on retirement savings,"$20,000.00",2022-2023,752
"Gonzalez Moctezuma, Pablo",The University of British Columbia,"Smallholder farmers (SHFs) population and spatial distribution in Mexico, their contributions to landscape restoration circumscribed to the national revegetation hotspots, their perspectives and epistemology on the concepts of land restoration and degrada","$50,000.00",2022-2023,770
"Gordillo, Gaston R.",The University of British Columbia,Following the Soy Supply Chains: The Infrastructures of the Argentine Soy Boom,"$42,911.00",2022-2023,435
"Gornall, Will",The University of British Columbia,The financial returns to innovation,"$39,411.00",2022-2023,435
"Götz, Friedrich",The University of British Columbia,The dark sides of courage: A new perspective on an old construct,"$32,714.00",2022-2023,430
"Green, David A.",The University of British Columbia,Deaton Review Country Studies: A Trans-Atlantic Comparison of Inequalities in Incomes and Outcomes over Five Decades,"$46,620.00",2022-2023,"2,005"
"Griffin, Dale W.",The University of British Columbia,Beyond Green values: Affirmation Processes in Consumer Decision Making About Climate Change,"$41,100.00",2022-2023,435
"Grinnell, George C.",The University of British Columbia,Punk Pedagogy,"$2,158.00",2022-2023,435
"Grocott, Bronwen B.",The University of British Columbia,Do Cognitive Responses to Exclusion Predict Loneliness in the First Semester of University?,"$17,500.00",2022-2023,766
"Gryba, Rowenna D.",The University of British Columbia,Bridging Indigenous Knowledge and western science to better understand animal habitat use,"$20,000.00",2022-2023,752
"Guan, Kate",The University of British Columbia,Why we hate when good people go bad: Investigating how moral impression violations contaminate trust in others,"$35,000.00",2022-2023,767
"Guhn, Martin",The University of British Columbia,How does Aboriginal Head Start make a difference for Indigenous children and their families? Partnering on a longitudinal mixed-methods study,"$46,514.00",2022-2023,435
"Gulati, Sumeet",The University of British Columbia,Human Elephant Conflict in India,"$5,500.00",2022-2023,435
"Guo, Yu",The University of British Columbia,Social Media Engagement Targeting Chinese International Students: A Decolonial Analysis of Canadian Post-secondary Institutions in BC,"$20,000.00",2022-2023,752
"Gupta, Neha",The University of British Columbia,Building an anti-colonial digital archaeology in the Canadian context through Indigenous data governance principles,"$40,671.00",2022-2023,430
"Ha, Stella-Luna L.",The University of British Columbia,Canadian Journalists on Reporting the COVID-19 Pandemic and Mental Health,"$17,500.00",2022-2023,766
"Haase, Kristen",The University of British Columbia,Developing a grounded theory of the social processes of self-management amongst older adults with chronic impairments,"$40,701.00",2022-2023,430
"Hall, Kathleen C.",The University of British Columbia,Message-Oriented Phonology: Canadian ASL,"$74,146.00",2022-2023,435
"Hamlin, J. Kiley",The University of British Columbia,Mapping the origins of human morality: A comprehensive longitudinal study of moral development from birth through age 3,"$76,589.00",2022-2023,435
"Hammerly, Christopher",The University of British Columbia,Mapping and modelling grammatical person and voice in Ojibwe,"$27,458.00",2022-2023,435
"Han, Ying",The University of British Columbia,Pregnant with Expectations: Portrayals of Motherhood in Japanese Women's Literature,"$17,500.00",2022-2023,766
"Haniford, Alicia L.",The University of British Columbia,Cognitive Landscapes in Middle English Romance,"$35,000.00",2022-2023,767
"Hanna, Kevin S.",The University of British Columbia,Connecting cumulative effects assessment to decision-making,"$34,625.00",2022-2023,435
"Haque, Maysa",The University of British Columbia,Muslims on Turtle Island: The Islamic Ethics of Inhabiting Treaty 4 Territory,"$20,000.00",2022-2023,752
"Hardisty, David",The University of British Columbia,Using joint evaluation to increase donations to needy charities,"$37,211.00",2022-2023,430
"Hardman, Shirley Anne Swelchalot",The University of British Columbia,Educating Hearts for Indigenization and Education for Reconciliation,"$17,500.00",2022-2023,767
"Hare, Jan",The University of British Columbia,Indigenous Engagement and Resurgence ,"$200,000.00",2022-2023,950
"Harris, Leila",The University of British Columbia,Beyond access:  comparative analysis of non-material dimensions of water insecurities,"$82,817.00",2022-2023,435
"Harris, Megan M.",The University of British Columbia,"Contextualizing Pictographs of the Similkameen Valley, British Columbia","$20,000.00",2022-2023,752
"Harten, Julia",The University of British Columbia,"High wages, no housing: Gender, discrimination, and women's access to rental housing in urban India","$9,450.00",2022-2023,892
"Harten, Julia Gabriele",The University of British Columbia,Data Innovation for Housing and Inclusive Urbanization,"$95,000.00",2022-2023,950
"Hassan, Maira",The University of British Columbia,Being Consensual and Muslim: Placing Muslim Women within the Affirmative Consent Standard in Canadian Sexual Assault Law,"$17,500.00",2022-2023,767
"Hastie, Bethany",The University of British Columbia,Collective Representation in a New World of Work: Implications for Canadian Labour Law,"$20,039.00",2022-2023,435
"Hatef Naiemi, Atri",The University of British Columbia,On the Periphery of the Ilkhanate: Provincial Architecture in Post-Conquest Iran,"$5,625.00",2022-2023,756
"Hayes, Syler W.",The University of British Columbia,Comparing the outcomes of career focused versus identity focused group interventions for maintaining recovery from problematic alcohol use,"$20,000.00",2022-2023,752
"Head, Keith",The University of British Columbia,Multinational oligopoly: new issues and new methods,"$32,600.00",2022-2023,435
"Heine, Steven J.",The University of British Columbia,Economic Inequality and Status Strivings,"$53,327.00",2022-2023,435
"Henry, Annette M.",The University of British Columbia,"""This is the riddle I've been trying to solve"": A longitudinal oral history of the challenges and experiences of Black people in Vancouver","$43,823.00",2022-2023,435
"Herrick, Shannon S.C.",The University of British Columbia,Exploring assemblages of disability-sexuality-gender in physical activity,"$45,000.00",2022-2023,756
"Herrick, Shannon S.C.",The University of British Columbia,Playbright: Exploring how LGBTQ2S+ youth experience and express their embodiment through playwriting,"$23,912.00",2022-2023,892
"Hesse, Cassandra",The University of British Columbia,Fantasy or Reality? How Pornography Contributes to Adolescents Understanding of Sexuality,"$20,000.00",2022-2023,752
"Hewitt, Paul L.",The University of British Columbia,Intrapersonal Expression of Perfection: The Perfectionistic Self-Relationship,"$85,253.00",2022-2023,435
"Hicks, Andrew",The University of British Columbia,How Basic Income Affects Willingness to Take Risk: Evidence From the Manitoba Basic Income Experiment,"$17,500.00",2022-2023,766
"Hillier, Brandon T.",The University of British Columbia,Models of Japan(ification): Regulating advanced capitalist decline,"$35,000.00",2022-2023,767
Historical Studies in Education,The University of British Columbia,Historical Studies in Education / Revue d'histoire de l'éducation,"$11,550.00",2022-2023,651
"Hnatkovska, Viktoria V.",The University of British Columbia,"Price setting, welfare and monetary policy in emerging market economies: Theory and evidence from India","$16,266.00",2022-2023,435
"Hoffmann, Florian",The University of British Columbia,The Effects of Occupational Licensing on Market Prices,"$26,781.00",2022-2023,435
"Hohol, Philip E.",The University of British Columbia,Rereading Romeo and Juliet: Queer Theory Toward a Shakespearean Critique,"$17,500.00",2022-2023,766
"Honisch, Stefan Sunandan",The University of British Columbia,Canadian Accessible Musical Instruments Network (CAMIN),"$7,000.00",2022-2023,421
"Hopewell, Kristen",The University of British Columbia,Contemporary Conflicts in the Politics and Governance of International Trade,"$24,157.00",2022-2023,435
"Hopewell, Kristen",The University of British Columbia,Global Policy,"$120,000.00",2022-2023,950
"Hopewell, Kristen",The University of British Columbia,Industrial Policy in the Age of Globalization,"$38,230.00",2022-2023,430
"Howard, Ashley",The University of British Columbia,Shorelines: Waterscapes and Fishing in Early Modern Drama,"$20,000.00",2022-2023,752
"Hoy, Bailey I.M.",The University of British Columbia,Bailey Hoy SSHRC CGS M Application,"$17,500.00",2022-2023,766
"Hrymak, Haley",The University of British Columbia,Creating a Safer and More Effective Family Law System in British Columbia for Survivors of Violence,"$20,000.00",2022-2023,752
"Huang, Chunping",The University of British Columbia,Heritage and Identity in Practice: A Visual Art Reflection on Diasporic Chinese-ness,"$20,000.00",2022-2023,752
"Hubley, Anita M.",The University of British Columbia,Examining how people interpret and respond to items in questionnaires: Does it matter whether items are positively versus negatively worded and keyed?,"$44,681.00",2022-2023,435
"Hudson, Rupert A.",The University of British Columbia,The Emotionally Expressive & Aware Man,"$17,500.00",2022-2023,766
"Hung, Lillian",The University of British Columbia,"Co-create virtual reality with patients, families, staff, decision-makers, and industry to achieve inclusivity and sustainability","$125,000.00",2022-2023,940
"Hunsche, Michelle C.",The University of British Columbia,Perspective taking and social adjustment in youth with social communication difficulties,"$35,000.00",2022-2023,767
"Huot, Suzanne",The University of British Columbia,Fostering cohesion within diversifying communities: Immigration to Francophone minority communities from coast to coast,"$99,811.00",2022-2023,435
"Huot, Suzanne",The University of British Columbia,The gig economy and the changing nature of jobs,"$23,190.00",2022-2023,892
"Hurd, Laura",The University of British Columbia,"Connecting in Later Life: Canadian Older Adults' Perceptions and Experiences of ICTs, Social Isolation, and Loneliness","$33,581.00",2022-2023,430
"Huron, Miranda L.C.",The University of British Columbia,Indigenous Agency in Co-development: Understanding the Interpretation of Nation-to-Nation Policy Development through the Indigenous Languages Act,"$20,000.00",2022-2023,752
"Huron, Miranda L.C.",The University of British Columbia,Indigenous Agency in Co-development: Understanding the Interpretation of Nation-to-Nation Policy Development through the Indigenous Languages Act,"$45,000.00",2022-2023,775
"Huyser, Kimberly R.",The University of British Columbia,Ya'a De Healing Camp,"$149,941.00",2022-2023,890
"Ichikawa, Jonathan J.",The University of British Columbia,"Epistemic Courage, Oppression, and the Duty to Believe","$15,483.00",2022-2023,435
"Irwin, Rita L.",The University of British Columbia,Learning with the Land,"$70,430.00",2022-2023,890
"Irwin, Rita L.",The University of British Columbia,"Retracing, Reimagining and Reconciling our Roots","$65,187.00",2022-2023,435
"Jafari Milani, Sonia",The University of British Columbia,Where Does the Mind Wander During Sex? A Multi-method Examination of Gender Differences in Mind-wandering During Sex and Sexual Arousal and Desire,"$35,000.00",2022-2023,767
"Jakobi, Jennifer",The University of British Columbia,"Virtual Reality: A relevant, safe, trusted and co-created platform with older adults","$125,000.00",2022-2023,940
"Janis, Ashleigh L.",The University of British Columbia,Exploring Early Child Educators' Views About Anti-Racist Education,"$17,500.00",2022-2023,766
"Jenson, Jennifer",The University of British Columbia,School's Out: Ludic Pathways to STEM Equity?,"$41,905.00",2022-2023,435
"Jerowsky, Micheal D.D.",The University of British Columbia,Facilitating access to green space and the environmental education of youth through virtual and augmented reality,"$35,000.00",2022-2023,767
"Joeck, Molly Emilia Esbenshade",The University of British Columbia,Unbounded Normativity in the Canadian/American Borderlands,"$20,000.00",2022-2023,752
"Johnston, Melissa",The University of British Columbia,Is Universal Water Metering Universally Feasible? A City of Vancouver Case Study,"$17,500.00",2022-2023,766
"Jopling, Ellen N.",The University of British Columbia,Understanding Socioemotional Well-Being Across the Adolescent Transition,"$50,000.00",2022-2023,770
"Juhasz, Reka",The University of British Columbia,How Did East Asia Ascend? The Impact of Industrial Policy on Industrialization in Post-war East Asia,"$10,500.00",2022-2023,435
"Justice, Daniel H.",The University of British Columbia,Indigenous Literature and Expressive Culture,"$50,000.00",2022-2023,950
"Kaechele, Nicole A.",The University of British Columbia,"Compensating Impacts to Indigenous Communities from Resource Development, and the Transgression of Title and Treaty Rights","$20,000.00",2022-2023,752
"Kartal, Rebekah Lea",The University of British Columbia,The search for equity: A critical analysis of Ohio initiatives working to address the racial disparity in infant mortality,"$20,000.00",2022-2023,752
"Kasprzycki, Eva N.",The University of British Columbia,"Consuming Other Animals: Biopolitics, Discourse and Moral Dissonance","$52,500.00",2022-2023,767
"Kassan, Anusha",The University of British Columbia,Newcomer Youth and School Integration: An Arts-Based Engagement Ethnography in the French and English Public System,"$32,700.00",2022-2023,435
"Kaushal, Asha",The University of British Columbia,"Immigration Law's Companions: Family Law, Criminal Law, and International Law","$8,286.00",2022-2023,435
"Kay, Nicholas R.",The University of British Columbia,Religiosity and Moralized Beliefs About Income Inequality,"$17,500.00",2022-2023,766
"Kealy, David",The University of British Columbia,Enhancing possible selves among emerging adults: Randomized controlled trial of a mentoring intervention,"$33,400.00",2022-2023,435
"Kemple, Thomas M.",The University of British Columbia,Global Citizens at Home and Abroad: A Durkheimian Analysis,"$20,524.00",2022-2023,435
"Kerns, Connor M.",The University of British Columbia,Social skill and social disconnection: Investigating the role of memory,"$40,912.00",2022-2023,435
"Khan, Mohammad Morad Hossain",The University of British Columbia,Canada's Arctic affairs with the United States of America and China,"$10,000.00",2022-2023,775
"Khan, Mohammad Morad Hossain",The University of British Columbia,Canada's Arctic affairs with the United States of America and China,"$17,500.00",2022-2023,766
"Kia, Hannah",The University of British Columbia,Peer-Based Social Support as a Source of Resilience among Transgender and Gender Diverse Individuals in Canada: An Exploratory Study,"$34,182.00",2022-2023,430
"Kia, Hannah",The University of British Columbia,Social Service Experiences and Needs of Older Transgender and Gender Diverse Adults: Gauging the Canadian Landscape,"$24,759.00",2022-2023,892
"Kikkawa, Ayumu",The University of British Columbia,Two-sided Market Power in Firm-to-firm Trade,"$15,122.00",2022-2023,430
"Kim, Baek Jung",The University of British Columbia,Teach for Aptitude: The Impact of Learning Apps,"$30,181.00",2022-2023,430
"Kina, Hilal E.",The University of British Columbia,Engaging with the Traces of a Shared Past: Memory and Subjectivity in Northeastern Turkey,"$50,000.00",2022-2023,770
"King, Adam R.",The University of British Columbia,"Sense of Self, Systems Thinking and Leadership Success: How self-concepts impact systems thinking abilities, transformational leadership behaviours, and psychological wellbeing","$35,000.00",2022-2023,767
"Kling, Lucas",The University of British Columbia,Abstract encounters: queering nonrepresentational modern and contemporary art,"$20,000.00",2022-2023,752
"Ko, Ariel Hoi Ching",The University of British Columbia,A 2-year longitudinal investigation on the development of perfectionism in 4 to 7-year old children,"$35,000.00",2022-2023,767
"Kong, Hoi L.",The University of British Columbia,Populism and the Canadian Constitutional Order,"$21,796.00",2022-2023,435
"Kravchenko, Sergey",The University of British Columbia,Additive Manufacturing for Sustainable Supply Chain of Postpandemic,"$250,000.00",2022-2023,941
"Kravchenko, Sergey",The University of British Columbia,"Non-destructive, probabilistic reconstruction of the fiber orientation distribution in compression molded fiber reinforced polymer composite based on thermal imaging and Bayesian inference","$125,000.00",2022-2023,940
"Kropp, Kaelen A.",The University of British Columbia,"To Out, or Not to Out? Conservative Provincial Approaches to Gay-Straight Alliance Confidentiality in Canada","$17,500.00",2022-2023,766
"Kuus, Merje",The University of British Columbia,Transnational Expertise: Diplomatic Knowledge and the Remaking of States,"$27,110.00",2022-2023,435
"Lacy, Rachel",The University of British Columbia,Tokens in late medieval and early modern English theatre and theology,"$10,000.00",2022-2023,752
"Lagresa, Elizabeth",The University of British Columbia,Re-Imagining the Spanish Novella: Cross-Cultural Encounters in Early Modern Fiction by Women (1635-1700),"$31,305.00",2022-2023,430
"Lahiri, Amartya",The University of British Columbia,"Supply Shocks, Wage-Price Spirals and Monetary Policy","$10,124.00",2022-2023,435
"Laing, Allison M.",The University of British Columbia,Violence mitigation among homeless people who use illicit drugs,"$35,000.00",2022-2023,767
"Laird, Colleen",The University of British Columbia,Embodying the Video Essay: Advanced Methods in Videographic Theory Through Global Communities of Practice,"$46,155.00",2022-2023,611
"Latimer, Heather D.",The University of British Columbia,Conceiving the Future: Dystopia and Reproductive Politics,"$4,632.00",2022-2023,435
"Lau, Henry",The University of British Columbia,Protecting cultural resiliency at the check-out: Diagnosing the decline of ethnic grocers,"$17,500.00",2022-2023,766
"Laub, Catherine A.",The University of British Columbia,"The Diva's Agency: Gender, Entrepreneurship, and Nationalism in the Public Vocal Recital, Vienna, 1800-1848","$35,000.00",2022-2023,767
"Laurin, Kristin",The University of British Columbia,Reluctance to disclose political identities: Causes and consequences,"$20,763.00",2022-2023,435
"Laurin, Kristin",The University of British Columbia,System justification: Self-regulatory causes and unintended emotional consequences,"$38,720.00",2022-2023,435
"Le Billon, Philippe A.",The University of British Columbia,Fishy crimes: Partnering to improve small-scale fishers livelihoods,"$62,055.00",2022-2023,890
"LeBaron, Michelle",The University of British Columbia,Choreographing Change: Applying Arts Practices to Transform Worldview Conflicts in Canada and Beyond,"$17,181.00",2022-2023,435
"Lee, Gene Moo",The University of British Columbia,Robots Serve Humans? Understanding the Economic and Societal Impacts of AI Robots in the Service Industry,"$25,460.00",2022-2023,430
"Lee, Jessica",The University of British Columbia,Consequences of the underrepresentation of women in STEM for children's engagement and interest in STEM,"$17,500.00",2022-2023,766
"Lee, Uyseok",The University of British Columbia,The Effects of Racial Segregation on Immigrant Outcomes in Canada,"$20,000.00",2022-2023,752
"Legault, Gabrielle",The University of British Columbia,The Strength of Our Ancestors: A Youth-led Investigation of Urban Indigenous Identities,"$33,281.00",2022-2023,430
"Lewis, Jennifer A.",The University of British Columbia,sqilwx chout (syilx-Okanagan ways) of healing trauma,"$20,000.00",2022-2023,752
"Li, Amila",The University of British Columbia,You're So Quiet: Communicating Mental Illness in Asian North American Literature,"$20,000.00",2022-2023,752
"Li, Eric P. H.",The University of British Columbia,Strategic Corporate Philanthropy: A Cross-Cultural Study,"$28,408.00",2022-2023,435
"Li, Eric P.H.",The University of British Columbia,Food Odyssey: An exploratory study of the implementation of sustainable and resilient local food systems,"$69,500.00",2022-2023,890
"Li, Guofang",The University of British Columbia,Behind the model minority mask:  identifying early factors in cantonese and mandarin-speaking children's divergent literacy and academic trajectories in Canadian schools,"$31,058.00",2022-2023,435
"Li, Guofang",The University of British Columbia,Transnational/Global Perspectives of Language and Literacy Education of Children and Youth Department of Language and Literacy Education,"$150,000.00",2022-2023,950
"Li, Guofang",The University of British Columbia,Transnational/Global Perspectives on Language and Literacy Education of Children and Youth,"$50,000.00",2022-2023,950
"Li, Kai",The University of British Columbia,Corporate Governance,"$200,000.00",2022-2023,950
"Li, Kai",The University of British Columbia,"Gender, Competition, and Performance: International Evidence","$10,484.00",2022-2023,435
"Li, Wei",The University of British Columbia,Learning in local networks,"$8,580.00",2022-2023,435
"Li, Xiaojun",The University of British Columbia,Intellectual Humility and US-China Relations,"$43,559.00",2022-2023,430
"Liao, Carol M.",The University of British Columbia,A Canadian Model of Sustainable Corporate Governance: 30 Years to the Dey,"$14,209.00",2022-2023,435
"Liebenberg, Amy",The University of British Columbia,Indigenous Cultural Representation in Vancouver's Public Realm: Local and Political Significance,"$17,500.00",2022-2023,766
"Lightfoot, Sheryl",The University of British Columbia,Canada Research Chair of Global Indigenous Rights and Politics,"$25,000.00",2022-2023,950
"Lightfoot, Sheryl",The University of British Columbia,Decolonizing Settler States: Unravelling Systemic Blockages to Indigenous Rights in State Institutions and Civil Society,"$78,223.00",2022-2023,890
"Lim, Jan",The University of British Columbia,Indigenous Patient Navigation Services & Healthcare Inequities,"$17,500.00",2022-2023,766
"Lin, Nancy X.Y.",The University of British Columbia,Enhancing access to psychosocial supports after acquired brain injury,"$35,000.00",2022-2023,767
"Lin, Zhen",The University of British Columbia,A posthuman investigation of resources for Chinese-Canadian children's heritage language maintenance at home,"$20,000.00",2022-2023,752
"Lints, Emily L.",The University of British Columbia,Redefining Feminist Ideals in Girlhood: The Influence of Contemporary Young Adult Literature on Generation Z's Girlhood Development,"$17,500.00",2022-2023,766
"Little, Ariel",The University of British Columbia,"Saving Girls' Bodies, Minds, and Souls: Holistic Health as the Key to Well-being in the Works of L.M. Montgomery, Louisa May Alcott, and Frances Hodgson Burnett","$35,000.00",2022-2023,767
"Liu, Siyuan",The University of British Columbia,The Avant-Garde and the Proletarian: Japan's Impact on Leftist Chinese Theatre in the 1930s,"$25,866.00",2022-2023,435
"Lloy, Marie A.",The University of British Columbia,Effects of Language Experience and Language Attitudes on Talker Identification,"$17,500.00",2022-2023,766
"Lopes, Dominic McIver",The University of British Columbia,Cosmopolitan Aesthetics,"$23,650.00",2022-2023,435
"Lougheed, Jessica",The University of British Columbia,Daily Conflicts in Parent-Adolescent Dyads: Associations with Parent and Adolescent Development,"$34,172.00",2022-2023,430
"Low, Margaret",The University of British Columbia,Accelerating Transformative Public Sector Innovation Toward Social and Ecological Justice ,"$125,000.00",2022-2023,940
"Lundholm, Russell J.",The University of British Columbia,The changing value of financial analysis in the presence of ETFs,"$58,700.00",2022-2023,435
"Luo, Yu",The University of British Columbia,Sociocultural influences on climate change perception and action,"$20,000.00",2022-2023,752
"Lyon, John",The University of British Columbia,Tense and Aspect in Nsyilxcn: Linguistic and Syilx Perspectives on Meaning,"$32,558.00",2022-2023,430
"Ma, Hongshen",The University of British Columbia,Immune profiling using single cell cytokine secretome and transcriptome analysis,"$125,000.00",2022-2023,940
"Ma, Liya",The University of British Columbia,Teaching from East to West: Chinese immigrant teachers adapting to pedagogy in BC K-12 schools,"$17,500.00",2022-2023,766
"Macintyre Latta, Margaret A.",The University of British Columbia,WORKING THE IDEAS:  The Needed Practice Ground for Curricular Decolonization and Indigenization,"$19,203.00",2022-2023,611
"MacLean, Karon",The University of British Columbia,Designing for Subversion: Finding a Framework for Embodying Teen Social Interaction in a Robot Swarm,"$125,000.00",2022-2023,940
"Macleod, Ana C.",The University of British Columbia,Fly Eagle Fly: Honouring Indigenous Adoptee Youths Stories in Education,"$20,000.00",2022-2023,752
"Madden, John",The University of British Columbia,Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,"$4,025,000.00",2022-2023,943
"Madhav, Manu",The University of British Columbia,Modeling the geometry and symmetry of cognitive maps,"$125,000.00",2022-2023,940
"Mahannah, Dayna A.",The University of British Columbia,A Mind in Traffic,"$17,500.00",2022-2023,766
"Mahikwa, Robert",The University of British Columbia,"Seven Fires: A Revitalization of Internationally Co-Created, Culturally-Informed Approaches to Indigenous Mentorship Philosophies and Traditional Practices","$50,000.00",2022-2023,770
"Maloney, Keisha D.R.",The University of British Columbia,"Pursuing reconciliation through challenging the symbolic and material spatial form: Explorations of urban Indigeneity in Toronto, Canada","$20,000.00",2022-2023,752
"Mancini, Mark",The University of British Columbia,Challenging Deference to the Carceral State,"$35,000.00",2022-2023,767
"Maqsood, Hasfa",The University of British Columbia,Bringing Situated Knowledges and Counter-narratives into the Newsroom: Muslim Female Journalists in Canadian Media,"$17,500.00",2022-2023,766
