"Project Number","Project title","Fund Type",Fund,"Team Leader(s)","Team Member(s)",Province,Municipality,"Institution type","Lead Institution","Collaborating Institutions","Field of research",Keywords,"Funding decision year","Decision date","CFI Contribution"
7662,"High Throughput Macromolecular Crystallography Beamline at the Canadian Light Source","Innovation Fund","Innovation Fund (1999-2005)","Natalie Strynadka","Albert Berghuis, Miroslaw Cygler, Louis Delbaere, Aled Edwards, Stephen Evans, Michael James, Zongchao Jia, Emil Pai, Natalie Strynadka, Hans Vogel","British Columbia",Vancouver,University,"The University of British Columbia","University of Saskatchewan",Biochemistry,"Structural biology,  structural genomics, proteomics, macromolecular  x-ray crystallography, protein crystallography,  MAD phasing, high throughput sample handling, roboticssynchrotron X-ray source",2004,2-Mar-04,$4174285
10052,"High-performance computer for processing astronomical large data sets, data simulation and data analysis","John R. Evans Leaders Fund","On-going New Opportunities Fund","Ludovic Van Waerbeke","Ludovic Van Waerbeke","British Columbia",Vancouver,University,"The University of British Columbia",,"Astronomical and space sciences","beowulf cluster computer, gravitational lensing, data processing, data analysis, Canada France Hawaii Telescope Legacy Survey, numerical simulation, dark matter",2004,19-Oct-04,$37261
202095,"Infrastructure for microfabrication and characterization of MEMS and nano devices","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Mu Chiao","Mu Chiao","British Columbia",Vancouver,University,"The University of British Columbia",,"Mechanical engineering","MEMS, Nanotechnology, Implantable Devices, Sensors, Actuators",2004,9-Apr-04,$167998
202070,"Infrastructure support for the UBC cognitive and language development laboratory","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Eric Eich","Eric Eich, Fei Xu","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychology and cognitive sciences","infant cognition, language and conceptual development, object representations, number concepts, word learning",2004,2-Mar-04,$130000
7576,"Infrastructure Support for the UBC Systems Analysis of Behaviour and Electrophysiology Research Laboratory","John R. Evans Leaders Fund","On-going New Opportunities Fund","Stanley Floresco","Stanley Floresco","British Columbia",Vancouver,University,"The University of British Columbia",,"Rehabilitation medicine","prefrontal cortex, dopamine, in vivo electrophysiology, behaviour, cognition, schizophrenia, drug addiction",2004,2-Mar-04,$125000
10002,"Infrastructure Support for the UBC Systems Neuroendocrinology Laboratory","John R. Evans Leaders Fund","On-going New Opportunities Fund","Kiran Soma","Kiran Soma","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurosciences, medical and physiological and health aspects","Neurobiology, pharmacology, endocrinology, biochemistry, mental illness, aggression, depression, aging, hormone replacement therapy, steroids",2004,19-Oct-04,$125000
202367,"Infrastructure to support research in conservation biology of peripheral populations by the Vernon C. ""Bert"" Brink CRC chair in Conservation Biology","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Karen  Hodges","Karen  Hodges","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","conservation, fragmentation, population dynamics, landscape ecology, critical habitat",2004,19-Oct-04,$125000
9529,"Integrated Radiocommunication Laboratory (INTEGRAL)","John R. Evans Leaders Fund","On-going New Opportunities Fund","Shahriar Mirabbasi","Lutz Lampe, Guy Lemieux, David Michelson, Shahriar Mirabbasi, Vincent Wong","British Columbia",Vancouver,University,"The University of British Columbia",,"Electrical engineering, computer engineering, and information engineering","Wireless communications, propagation and channel modelling, radio-frequencyintegrated circuits, wireless networking, mixed-signal IC design, programmable logic design",2004,2-Mar-04,$500000
7573,"Laboratory for Advanced Spectroscopy and Imaging Research (LASIR)","Innovation Fund","Innovation Fund (1999-2005)","John Hepburn","Allan Bertram, Michael  Blades, Michael Fryzuk, John Hepburn, Ross Hill, Steven Holdcroft, Gary Leach, Mark MacLachlan, Moshe Shapiro, Michael Wolf","British Columbia",Vancouver,University,"The University of British Columbia","Simon Fraser University","Physical chemistry (including structural)","laser,coherent control,time-resolved spectroscopy, surface science,confocal microscopy,non-linear optical materials,environmental chemistry,catalysis, combustion research, photolithography",2004,2-Mar-04,$5095968
202127,"Laboratory for Pacemaker Channel Research","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Eric Accili","Eric Accili","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","pacemaker channels, structure and function, cardiac and neural function, health and disease",2004,19-Oct-04,$152019
10032,"Laboratory for Quantum Materials Research with Ultra-Cold Atomic Gases","John R. Evans Leaders Fund","On-going New Opportunities Fund","Kirk Madison","Kirk Madison","British Columbia",Vancouver,University,"The University of British Columbia",,"Classical physics","laser cooling & trapping, dilute Bose Einstein condensates, ultra-cold fermion and boson gases, high-stability CW lasers, ultra-high vacuum, optical lattices, atomic physics, quantum and atom optics",2004,19-Oct-04,$175000
202023,"Laboratory for Research into Gastrointestinal Inflammation","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Bruce Vallance","Bruce Vallance","British Columbia",Vancouver,University,"The University of British Columbia",,"Clinical sciences","Inflammatory Bowel Disease, Inflammation, Bacteria, Innate Immunity, Gastroenterology",2004,2-Mar-04,$126296
10037,"Laboratory for Ultrastable Femtosecond Optics","John R. Evans Leaders Fund","On-going New Opportunities Fund","David Jones","David Jones","British Columbia",Vancouver,University,"The University of British Columbia",,"Classical physics","coherent control, phase-stable femtosecond lasers, attosecond science, optical frequency metrology, femtosecond frequency combs, atomic physics,",2004,19-Oct-04,$149932
10050,"Laboratory of Immune System Functional Genomics.","John R. Evans Leaders Fund","On-going New Opportunities Fund","Ninan Abraham","Ninan Abraham","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","immune development, mouse models, functional genomics, proteomics, gene complementation, stem cell transplantation, cell  sorting/detection, gene arrays",2004,19-Oct-04,$87975
9147,"Laboratory of Molecular Imaging and Parasite Pharmacogenomics","John R. Evans Leaders Fund","On-going New Opportunities Fund","Michael Grigg","Michael Grigg","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","Molecular Biophotonics, Bioimaging, Pharmacogenomics, Parasitology, Protozoa, Toxoplasma, Microarrays",2004,2-Mar-04,$125000
10060,"Laboratory of Viral Immunopathology","John R. Evans Leaders Fund","On-going New Opportunities Fund","Marc Horwitz","Marc Horwitz","British Columbia",Vancouver,University,"The University of British Columbia",,"Clinical sciences","virus, immune response, innate immunity, adaptive immunity, infections, autoimmunity, disease pathology, diabetes, myocarditis, multiple sclerosis",2004,19-Oct-04,$125000
9535,"Molecular Actuators","John R. Evans Leaders Fund","On-going New Opportunities Fund","John Madden","John Madden","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering and resources engineering","molecular force, conducting polymer, artificial muscle, actuator, conformational changes, atomic force microscopy",2004,2-Mar-04,$125000
9818,"Multiaxial test frame for measurement of mechanical response in materials containing fine-scale multiphase microstructures","John R. Evans Leaders Fund","On-going New Opportunities Fund","Chad Sinclair","Chad Sinclair","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering and resources engineering","mechanical properties, material anisotropy,  fine-scale materials, mechanical testing, strengthening mechanisms, failure mechanisms",2004,16-Jun-04,$97697
9195,"New Approach to Reaction and Catalyst Discovery using Tandem Mass Spectrometry","John R. Evans Leaders Fund","On-going New Opportunities Fund","Jennifer Love","Jennifer Love","British Columbia",Vancouver,University,"The University of British Columbia",,"Organic chemistry","LC/MS/MS, reaction design and discovery, catalysis, enantioselective synthesis, kinetic and mechanistic investigation, organic chemistry, organometallic chemistry, coordination chemistry",2004,2-Mar-04,$150000
9121,"New Laboratory for Viral Myocarditis Research","John R. Evans Leaders Fund","On-going New Opportunities Fund","Honglin Luo","Honglin Luo","British Columbia",Vancouver,University,"The University of British Columbia",,"Cardiorespiratory medicine and hematology","Coxsackievirus, Myocarditis, Signal transduction, Molecular and cellular biology, Cell cycle regulation, Apoptosis, Ubiquitin/proteasome, Virology, Heart function, Image system",2004,2-Mar-04,$124720
9974,"Oceanographic Laboratory for Coastal Transition Zone Studies","John R. Evans Leaders Fund","On-going New Opportunities Fund","Evgeny Pakhomov","Evgeny Pakhomov","British Columbia",Vancouver,University,"The University of British Columbia",,Oceanography,"Coastal Transition Zone, marine plankton, fish larvae, stable isotopes, biochemical tracers, GC/C/IRMS, mesopelagic layer, micronekton",2004,19-Oct-04,$125000
7650,"Otitis Media and Middle Ear Analysis in Newborns","John R. Evans Leaders Fund","On-going New Opportunities Fund","Navid Shahnaz","Navid Shahnaz","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurosciences, medical and physiological and health aspects","otitis media, Middle ear,  newborns, multi-frequency tympanometry, Wide band reflectance, otoacoustic emission, laser doppler vibrometry, screening, diagnosis,",2004,2-Mar-04,$124991
8932,"OUC Centre for Species at Risk and Habitat Studies","Innovation Fund","Innovation Fund (1999-2005)","Daniel Durall","Daniel Durall, Melanie Jones, Nusha Keyghobadi, Karl Larsen, Bruce Mathieson, Scott Reid, Rebecca Tyson, Ian Walker","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","Species at Risk,Habitat Studies,Population Genetics,Landscape Genetics,Peripheral PopulationsLandscape Ecology,Biodiversity,Molecular Biology,Stress Physiology,Endocrine Disruptor Chemicals",2004,2-Mar-04,$876712
10108,"PC-TRIADD: Prostate Centre's Translational Research Initiative for Accelerated Discovery and Development","Research Hospital Fund","Research Hospital Fund","Martin Gleave","Samuel Aparicio, Shoukat Dedhar, Martin Gleave, Sheldon Goldenberg, David Huntsman, Michael Moran, Colleen Nelson, John Quackenbush, Janusz Rak, Paul Rennie","British Columbia",Vancouver,University,"The University of British Columbia",,Cancer,"prostate cancer, translational research, metastases, bioinformatics, proteomics, pathology, targeted therapeutics",2004,18-Oct-04,$7695981
8125,"PC-TRIADD:  The Prostate Centre’s Translational Research Initiative for Accelerated Discovery and Development","Innovation Fund","Innovation Fund (1999-2005)","Martin Gleave","Samuel Aparicio, Shoukat Dedhar, Martin Gleave, Sheldon Goldenberg, David Huntsman, Burkhard Jansen, Colleen Nelson, Steven Pelech, Paul Rennie, Poul Sorensen","British Columbia",Vancouver,University,"The University of British Columbia",,Cancer,"transcriptomics, proteomics, genomics, pharmacogenomics, pathology, developmental therapeutics, translational research, bioinformatics, imaging, clincal trials",2004,2-Mar-04,$7695981
202298,"Physiological and psychological origins of balance disorders and the efficacy of physical activity intervention programs to improve balance performance","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Mark Carpenter","Mark Carpenter","British Columbia",Vancouver,University,"The University of British Columbia",,"Basic medicine and life sciences","fear of falling, human balance, aging, balance disorders, physical activity",2004,19-Oct-04,$138064
8011,"Population health observatory: A resource to improve health, quality of life and productivity for Canada","Innovation Fund","Innovation Fund (1999-2005)","Kimberlyn McGrail","Morris Barer, Charlyn Black, Robert Evans, John Frank, Kimberlyn McGrail, Cameron Mustard, Noralou Roos, Kay Teschke, Jon Douglas Willms, Michael Wolfson","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","database development, longitudinal data, record linkage, spatial analysis, health services, population health, human development, social policy, environmental exposures, occupation and health",2004,2-Mar-04,$2938069
9690,"Proposal to develop a Natural Products Technology Centre (NPTC) at OUC","John R. Evans Leaders Fund","On-going New Opportunities Fund","Soheil Mahmoud","Soheil Mahmoud","British Columbia",Vancouver,University,"The University of British Columbia",,"Plant biology","Natural products, Isoprenoids, Monoterpenes, Biochemistry, Molecular Biology, Biotechnology, Linalool oxide, Wine aroma, Muscat grapes.",2004,16-Jun-04,$99983
9999,"Rapid Product Development for Innovation","John R. Evans Leaders Fund","On-going New Opportunities Fund","Yusuf Altintas","Yusuf Altintas, Derek Yip-Hoi","British Columbia",Vancouver,University,"The University of British Columbia",,"Mechanical engineering","Rapid Product Development, Rapid Manufacturing, Rapid Tooling, CAD/CAM, Computer-Aided Process Planning, Layered Manufacturing",2004,19-Oct-04,$115830
9395,"Real-Time Hybrid Control for Large-Scale Seismic Testing","John R. Evans Leaders Fund","On-going New Opportunities Fund","Kenneth Elwood","Kenneth Elwood, Terje Haukaas","British Columbia",Vancouver,University,"The University of British Columbia",,"Civil engineering","earthquakes, seismic design, structural engineering, civil engineering, large-scale testing, seismic retrofit, real-time control, network distributed tests",2004,2-Mar-04,$350000
10078,"Reducing the Burden of Injury in Canada: Injury Biomechanics Facilities","John R. Evans Leaders Fund","On-going New Opportunities Fund","Peter Cripton","Peter Cripton","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical and biomedical engineering","impact biomechanics, injury biomechanics, biomechanics, spine, spinal cord injury, spine injury, injury prevention, orthpaedics, geriatric injury, pediatric injury",2004,19-Oct-04,$115000
202303,"Research Facility for Internationalization of Curriculum Studies Project","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","William Pinar","William Pinar","British Columbia",Vancouver,University,"The University of British Columbia",,Education,"Curriculum studies, Anti-racist education, Gender studies",2004,13-Aug-04,$68760
7657,"Resonant Elastic and Inelastic Soft X-ray Scattering Beamline at the Canadian Light Source","Innovation Fund","Innovation Fund (1999-2005)","George Sawatzky","Robert Birgeneau, Douglas Bonn, Andrea Damascelli, Bruce Gaulin, Heinz-Bernhard Kraatz, Alexander Moewes, George Sawatzky, Michael Scheinfein, Thomas Tiedje, Frank Van Veggel","British Columbia",Vancouver,University,"The University of British Columbia",,"Condensed matter physics","soft x-ray spectroscopy, x-ray emission (XES), resonant inelastic x-ray scattering (RIXES), resonant elastic soft x-ray scattering (RSXS), x-ray absorption spectroscopy, synchrotron radiation, materials science, nanostructures,  magnetism.",2004,2-Mar-04,$3334065
202093,"Rheological and optical instruments for studying interfacial dynamics in complex fluids. This unique set of devices will allow simultaneous measurements of interfacial morphology and molecular order.","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","James Feng","James Feng","British Columbia",Vancouver,University,"The University of British Columbia",,"Chemical engineering","Complex fluids, rheology, interface, morphology",2004,2-Mar-04,$126272
202322,"Single molecule atomic force microscopy and protein engineering laboratory","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Hongbin Li","Hongbin Li","British Columbia",Vancouver,University,"The University of British Columbia",,"Physical chemistry (including structural)","single molecule atomic force microscopy, nanoscience, protein engineering,  biophysical chemistry, single molecule force spectroscopy",2004,23-Jul-04,$175000
202005,"Temperature-controlled scanning tunneling microscopy for investigation and engineering of molecular nanosystems","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","George Sawatzky","Johannes Barth, George Sawatzky","British Columbia",Vancouver,University,"The University of British Columbia",,"Physical chemistry (including structural)","molecular engineering, scanning tunneling microscopy, supramolecular chemistry and self-assembly, physical chemistry of surfaces and interfaces, low-dimensional materials",2004,2-Mar-04,$340000
202366,"The Centre for Culture, Identity and Education (CCIE)","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Handel Wright","Handel Wright","British Columbia",Vancouver,University,"The University of British Columbia",,Education,"cultural studies, multiculturalism, youth identities, institutional ethnography, comparative",2004,19-Oct-04,$41238
202044,"The Effects of Systemic Inflammation In Chronic Obstructive Pulmonary Disease (COPD).","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Don Sin","Don Sin","British Columbia",Vancouver,University,"The University of British Columbia",,"Cardiorespiratory medicine and hematology","COPD, systemic-inflammation, clinical-outcomes, corticosteroids, health-services",2004,2-Mar-04,$124984
9110,"The Paramagnetic Resonance Laboratory at UBC (PRL):a unique EPR/ENDOR facility in Canada","John R. Evans Leaders Fund","On-going New Opportunities Fund","Pierre Kennepohl","Pierre Kennepohl","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"electron paramagnetic resonance, electron-nuclear double resonance, spectroscopy of sulfur radicals, biological catalysis, oxidative stress, redox signaling",2004,2-Mar-04,$250000
202111,"The UBC neuropsychology laboratory for investigation of human visual processing and ocular motor control","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Jason Barton","Jason Barton","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","cerebral function, vision, oculomotor processing",2004,2-Mar-04,$119978
202377,"Towards Realistic Models of Human Cancers","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Samuel Aparicio","Samuel Aparicio","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"breast and ovarian cancer, high-throughput cell models, mouse models, regulatory elements",2004,13-Aug-04,$150000
7565,"UBC Feeding Behaviour and Feed Intake Monitoring System for Cattle.","John R. Evans Leaders Fund","On-going New Opportunities Fund","Marina von Keyserlingk","Marina von Keyserlingk","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","animal welfare, feeding behaviour, animal nutrition, animal health, voluntary intake",2004,2-Mar-04,$89816
202012,"Virtual Global Issues Research Communications Hub","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Michael Byers","Michael Byers","British Columbia",Vancouver,University,"The University of British Columbia",,"Political science","Peace, Security, International Law, Politics",2004,2-Mar-04,$77715
10553,"Advanced Biomaterials  Laboratory","John R. Evans Leaders Fund","On-going New Opportunities Fund","Jayachandran Kizhakkedathu","Jayachandran Kizhakkedathu","British Columbia",Vancouver,University,"The University of British Columbia",,"Cardiorespiratory medicine and hematology","biomaterials, blood contacting materials, biomimicking, biocompatible, controlled/living polymerization, carbohydrates, polymer brushes, stealth erythrocytes, immuno-adsorbents",2005,7-Jun-05,$66336
10295,"Advanced spatial data collection and analysis system","John R. Evans Leaders Fund","On-going New Opportunities Fund","Brett Eaton","Brett Eaton","British Columbia",Vancouver,University,"The University of British Columbia",,"Earth and related environmental sciences","digital elevation models, stereo photography, photogrammetry,  stream channel dynamics,  flume experiments, hydraulic modelling, sediment transport",2005,7-Jun-05,$75611
202562,"Computational statistics lab","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Kevin Murphy","Kevin Murphy","British Columbia",Vancouver,University,"The University of British Columbia",,"Artificial intelligence (AI)","Machine learning, computational statistics,probabilistic graphical models, computer vision,image understanding",2005,7-Jun-05,$37515
10568,"Computer Cluster for Experimental Study of Hard Combinatorial Problems","John R. Evans Leaders Fund","On-going New Opportunities Fund","Kevin Leyton-Brown","Kevin Leyton-Brown","British Columbia",Vancouver,University,"The University of British Columbia",,"Artificial intelligence (AI)","Computer cluster, empirical hardness of NP-hard problems, constraint programming, combinatorial auctions, satisfiability",2005,7-Jun-05,$75747
10076,"Design decision support laboratory, Design Centre for Sustainability","John R. Evans Leaders Fund","On-going New Opportunities Fund","Ronald Kellett","Cynthia Girling, Ronald Kellett","British Columbia",Vancouver,University,"The University of British Columbia",,"Urban and regional planning","Participatory process, Decision support toolsSustainable development,",2005,18-Oct-05,$98962
10631,"Evolution of diversity in bacterial microcosms: studying the genetic, physiological and ecological mechanisms of adaptive diversification","John R. Evans Leaders Fund","CFI Career Awards","Michael Doebeli","Michael Doebeli","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","experimental evolution, evolution of diversity, adaptive dynamics, speciation, diversification, microbial ecology, population dynamics",2005,18-Apr-05,$160585
202517,"Facility for Locomotor Biomechanics and Biomaterials Testing","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Robert Shadwick","Robert Shadwick","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","biomechanics, biomimetics, biomaterials, locomotion, muscle",2005,11-Jan-05,$100000
10550,"Facility for Molecular BioGeography (FMBG)","John R. Evans Leaders Fund","On-going New Opportunities Fund","Darren Irwin","Darren Irwin","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","speciation, geographic variation, molecular ecology, molecular phylogenetics, conservation genetics, hybrid zones, migratory connectivity, natural selection, AFLP, DNA sequencing",2005,7-Jun-05,$100000
202446,"Facility for Research in Conservation Biology","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Mark Vellend","Mark Vellend","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","conservation biology, ecology and evolution, habitat loss and fragmentation, population dynamics and viability, species at risk",2005,11-Jan-05,$99111
10496,"High Throughput Platform for Plant Functional Genomics","John R. Evans Leaders Fund","On-going New Opportunities Fund","Jin-Gui Chen","Jin-Gui Chen","British Columbia",Vancouver,University,"The University of British Columbia",,"Plant biology","gene function determination, phenotypic analysis, genetic screening, functional genomics, plant hormone, plant signal transduction, stress response, biotechnology, crop improvement, Arabidopsis",2005,7-Jun-05,$100000
10427,"Infrastructure for mitochondrial toxicity and dysfunction studies in HIV and HCV therapy","John R. Evans Leaders Fund","On-going New Opportunities Fund","Hélène Côté","Hélène Côté","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","Mitochondrial toxicityReal-time PCRgene expressionmtDNA depletionmitochondrial dysfunctionantiretroviral drug toxicity",2005,7-Jun-05,$80000
10448,"Infrastructure Support for the UBC Cognitive Neuroscience of Thought Laboratory","John R. Evans Leaders Fund","On-going New Opportunities Fund","Kalina Christoff","Kalina Christoff","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychology and cognitive sciences","fMRI, cognition, spontaneous mentation, task unrelated thought,  reasoning, prefrontal cortex, memory, neuroimaging, cortical function, higher cognition",2005,7-Jun-05,$100000
10507,"Laboratory for the Development of Microsystems Technology for Proteomics and Functional Genomics","John R. Evans Leaders Fund","On-going New Opportunities Fund","Carl Hansen","Carl Hansen","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology","Microsystems, Technology Development, Proteomics, Functional Genomics, Single Cell Assays, Molecular Diagnostics, Structural Biology,  Lab-on-a-chip, Nanomedicine, Nanobiology",2005,7-Jun-05,$100000
10574,"Laboratory of Plant Evolutionary Genomics and Gene Expression","John R. Evans Leaders Fund","On-going New Opportunities Fund","Keith Adams","Keith Adams","British Columbia",Vancouver,University,"The University of British Columbia",,"Plant biology","gene expression, evolution, genomics, plants, molecular biology, genome duplication, hybridization, polyploid, gene silencing, gene regulation",2005,7-Jun-05,$85000
202544,"Laboratory upgrades and sea-going equipment for trace elements and isotopes sampling and analysis in the ocean","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Roger Francois","Roger Francois","British Columbia",Vancouver,University,"The University of British Columbia",,Oceanography,"Marine Biogeochemistry, Paleoceanography, Trace metals, Isotopes, Climate Change",2005,11-Jan-05,$112600
202670,"Low temperature electrical transport measurement stations for studying spin physics in nanostructures","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Joshua Folk","Joshua Folk","British Columbia",Vancouver,University,"The University of British Columbia",,"Condensed matter physics","spin physics, quantum-dots, single molecules",2005,18-Apr-05,$179838
10397,"Mathematical Biology Spatial Computation Laboratory","John R. Evans Leaders Fund","On-going New Opportunities Fund","Rebecca Tyson","Rebecca Tyson","British Columbia",Vancouver,University,"The University of British Columbia",,"Applied mathematics","high speed computation, numerical analysis, differential equations, individual based models,  inverse problems,  spatial analysis",2005,8-Mar-05,$50240
202827,"New Computational Statistics Lab","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Arnaud Doucet","Arnaud Doucet","British Columbia",Vancouver,University,"The University of British Columbia",,Statistics,"Computational statistics, Monte Carlo methods, Bayesian statistics.",2005,8-Aug-05,$46607
10499,"Nonlinear Optical Microscopy Laboratory","John R. Evans Leaders Fund","On-going New Opportunities Fund","Keng-Chang Chou","Keng-Chang Chou","British Columbia",Vancouver,University,"The University of British Columbia",,"Physical chemistry (including structural)","nonlinear optics, chemically-selective imaging, second harmonic generation, sum frequency generation, coherent anti-Stokes Raman scattering, in vivo neuron imaging, peptide nucleic acids probes, plant surfaces, aerosol particles, MEMS.",2005,7-Jun-05,$100000
202817,"Organelle proteomics: cell biological, biochemical and bioinformatical infrastructure","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Leonard Foster","Leonard Foster","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"quantitative proteomics, phagocytosis, Salmonella, American Foulbrood, macrophages",2005,8-Aug-05,$107000
202518,"Plant Evolutionary Genomics Infrastructure","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Loren Rieseberg","Loren Rieseberg","British Columbia",Vancouver,University,"The University of British Columbia",,"Plant biology","plant evolutionary genomics, speciation, domestication, sunflower",2005,11-Jan-05,$229858
202872,"Plant Neurochemistry Laboratory","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Susan Murch","Susan Murch","British Columbia",Vancouver,University,"The University of British Columbia",,"Plant biology","Metabolomics, Plant Secondary Metabolism, Neurochemistry, Natural Chemicals, Alzheimer's Disease",2005,18-Oct-05,$179137
202459,"Statistical Mechanics and Algebraic Geometry","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Gordon Slade","Richard Kenyon, Gordon Slade","British Columbia",Vancouver,University,"The University of British Columbia",,"Pure mathematics","statistical mechanics, probability, critical exponents, conformal invariance, tiling",2005,11-Jan-05,$29866
202843,"Statup costs for computing and graduate students, fisheries statistics projects","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Murdoch McAllister","Murdoch McAllister","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","FisheriesStock assessmentecosystemmanagementbayes statistics",2005,12-Sep-05,$24817
10539,"Targeting bacterial developmental genes - Innovative approaches for tuberculosis chemotherapy","John R. Evans Leaders Fund","On-going New Opportunities Fund","Charles Thompson","Charles Thompson","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical microbiology","streptomyces, mycobacterium, sporulation, antibiotic biosynthesis, tuberculosis, drug development, antibiotic resistance, bacterial differentiation, transcriptome, proteome",2005,7-Jun-05,$97908
202829,"The Development of Encoded Peptidomimetic Libraries for Drug Discovery","John R. Evans Leaders Fund","Canada Research Chairs Infrastructure Fund","Adam Frankel","Adam Frankel","British Columbia",Vancouver,University,"The University of British Columbia",,"Pharmacology and pharmaceutical sciences (except clinical aspects)","Peptidomimetics, Combinatorial Libraries, In Vitro Selection, Unnatural Amino Acids, Drug Discovery",2005,8-Aug-05,$136194
10608,"The political environment, cognitive processes, and citizen competence in policymaking:  integrating survey research and laboratory experiments in political behavior.","John R. Evans Leaders Fund","On-going New Opportunities Fund","Paul Quirk","Paul Quirk","British Columbia",Vancouver,University,"The University of British Columbia",,"Political science","political psychology, survey research, experiments, cognitive processes, political behavior, public opinion, citizen competence",2005,7-Jun-05,$100000
10491,"Ultra-high Precision Intense Optical System for Very Low Temperature Spectroscopy (UHPIOS)","John R. Evans Leaders Fund","On-going New Opportunities Fund","Takamasa Momose","Takamasa Momose","British Columbia",Vancouver,University,"The University of British Columbia",,"Physical chemistry (including structural)","high resolution spectroscopy, infrared spectroscopy, laser spectroscopy, quantum solids, cold molecules, tunneling reactions, low temperature chemistry",2005,7-Jun-05,$130000
10006,"Water Tracer Laboratory","John R. Evans Leaders Fund","On-going New Opportunities Fund","Gunilla Öberg","Gunilla Öberg, Markus Weiler","British Columbia",Vancouver,University,"The University of British Columbia",,Hydrology,"tracer hydrology, flow pathways, runoff generation processes, residence time, wireless, multiple-site, in-situ, reference laboratory",2005,7-Jun-05,$100000
11632,"A Multidisciplinary, Translational, Research Laboratory to Develop Therapeutic Strategies for Spinal Cord Injury","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Brian Kwon","Brian Kwon","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","Spinal cord injury, functional regeneration, translational research, multidisciplinary",2006,7-Mar-06,$82981
203417,"Advanced Fibrous Materials Laboratory (AFML)","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Frank Ko","Frank Ko","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering and resources engineering","nanofibre technology, nanocomposite, nanomanufacturing, bioactive nanofibres, electroactive nanofibres",2006,25-Aug-06,$150343
